week_end_date,market,brand,product_description,upc,flavor,category,season,merchandise_condition,unit_sales,dollar_sales,price_per_unit
2022-01-22,NORTHEAST,BEYOND MEAT,BEYOND BREAKFAST SAUSAGE 7OZ,1000000340950,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Feature And Display,2108,18360.68,8.71
2022-01-22,NORTHEAST,BEYOND MEAT,BEYOND BREAKFAST SAUSAGE 7OZ,1000000340950,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Any Merch,2157,16716.75,7.75
2022-01-22,NEW YORK,BEYOND MEAT,BEYOND BREAKFAST SAUSAGE 7OZ,1000000340950,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Special Pack Only,451,2881.89,6.39
2022-01-22,CALIFORNIA,BEYOND MEAT BEYOND BURGER,BEYOND BURGER ORIGINAL 8OZ,1000000057464,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Display Only,1277,12105.96,9.48
2022-01-22,NORTHEAST,BEYOND MEAT BEYOND BURGER,BEYOND BURGER PLANT-BASED PATTIES 8OZ,1000000772224,REGULAR,FROZEN PLANT-BASED MEAT,Winter,No Merch,1207,10561.25,8.75
2022-01-22,MIDWEST,BEYOND MEAT BEYOND BURGER,BEYOND BURGER PLANT-BASED PATTIES 8OZ,1000000772224,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Feature Only,2083,18434.55,8.85
2022-01-22,TOTAL US,GARDEIN,GARDEIN MEATLESS MEATBALLS 12.7OZ,1000000447105,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Any Merch,993,5511.15,5.55
2022-01-22,CALIFORNIA,GARDEIN,GARDEIN MANDARIN ORANGE CRISPY CHKN 10.5OZ,1000000895359,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Feature Only,1118,6204.9,5.55
2022-01-22,NEW YORK,GARDEIN,GARDEIN MANDARIN ORANGE CRISPY CHKN 10.5OZ,1000000895359,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Feature Only,244,1259.04,5.16
2022-01-22,CALIFORNIA,IMPOSSIBLE,IMPOSSIBLE CHICKEN NUGGETS 13.1OZ,1000000854391,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Display Only,1544,13494.56,8.74
2022-01-22,TEXAS,IMPOSSIBLE,IMPOSSIBLE BURGER PLANT-BASED MEAT 12OZ,1000000808620,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Special Pack Only,1135,9250.25,8.15
2022-01-22,TEXAS,IMPOSSIBLE,IMPOSSIBLE SPICY BURGER 12OZ,1000000211924,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Display Only,580,4657.4,8.03
2022-01-22,TEXAS,IMPOSSIBLE,IMPOSSIBLE CHICKEN NUGGETS 13.1OZ,1000000854391,BUFFALO,FROZEN PLANT-BASED MEAT,Winter,Special Pack Only,484,4331.8,8.95
2022-01-22,NORTHEAST,MORNINGSTAR FARMS,MORNINGSTAR FARMS ORIGINAL BURGER 8OZ,1000000838805,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Feature And Display,1708,10025.96,5.87
2022-01-22,CALIFORNIA,MORNINGSTAR FARMS,MORNINGSTAR FARMS VEGGIE BURGER 9OZ,1000000656098,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Display Only,2209,15242.1,6.9
2022-01-22,SOUTHEAST,MORNINGSTAR FARMS,MORNINGSTAR FARMS SPICY BLACK BEAN BURGER 9OZ,1000000358716,SPICY BLACK BEAN,FROZEN PLANT-BASED MEAT,Winter,Feature Only,913,6874.89,7.53
2022-01-22,CALIFORNIA,MORNINGSTAR FARMS,MORNINGSTAR FARMS ORIGINAL BURGER 8OZ,1000000838805,SPICY BLACK BEAN,FROZEN PLANT-BASED MEAT,Winter,Any Merch,2896,15841.12,5.47
2022-01-22,SOUTHEAST,MORNINGSTAR FARMS,MORNINGSTAR FARMS SPICY BLACK BEAN BURGER 9OZ,1000000358716,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Display Only,609,4214.28,6.92
2022-01-29,MIDWEST,GARDEIN,GARDEIN SEVEN GRAIN CRISPY TENDERS 10.5OZ,1000000809224,HERB,FROZEN PLANT-BASED MEAT,Winter,Feature Only,771,4957.53,6.43
2022-01-29,TEXAS,GARDEIN,GARDEIN MANDARIN ORANGE CRISPY CHKN 10.5OZ,1000000895359,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Feature And Display,873,5822.91,6.67
2022-01-29,MIDWEST,GARDEIN,GARDEIN ULTIMATE BEEFLESS BURGER 14OZ,1000000328237,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Feature Only,998,7435.1,7.45
2022-01-29,FLORIDA,GARDEIN,GARDEIN MANDARIN ORANGE CRISPY CHKN 10.5OZ,1000000895359,REGULAR,FROZEN PLANT-BASED MEAT,Winter,No Merch,782,4426.12,5.66
2022-01-29,NEW YORK,IMPOSSIBLE,IMPOSSIBLE CHICKEN NUGGETS 13.1OZ,1000000854391,BUFFALO,FROZEN PLANT-BASED MEAT,Winter,Feature And Display,1981,20087.34,10.14
2022-01-29,MIDWEST,IMPOSSIBLE,IMPOSSIBLE CHICKEN NUGGETS 13.1OZ,1000000854391,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Any Merch,640,4320.0,6.75
2022-01-29,CALIFORNIA,MORNINGSTAR FARMS,MORNINGSTAR FARMS BUFFALO WINGS 8OZ,1000000049755,BACON,FROZEN PLANT-BASED MEAT,Winter,Any Merch,1510,9060.0,6.0
2022-01-29,MIDWEST,MORNINGSTAR FARMS,MORNINGSTAR FARMS BUFFALO WINGS 8OZ,1000000049755,SPICY BLACK BEAN,FROZEN PLANT-BASED MEAT,Winter,Feature Only,744,4798.8,6.45
2022-01-29,CALIFORNIA,MORNINGSTAR FARMS,MORNINGSTAR FARMS BUFFALO WINGS 8OZ,1000000049755,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Display Only,1035,7721.1,7.46
2022-01-29,NORTHEAST,MORNINGSTAR FARMS,MORNINGSTAR FARMS BUFFALO WINGS 8OZ,1000000049755,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Display Only,1144,6989.84,6.11
2022-01-29,FLORIDA,MORNINGSTAR FARMS,MORNINGSTAR FARMS BACON STRIPS 5.25OZ,1000000470437,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Display Only,1746,12483.9,7.15
2022-01-29,MIDWEST,MORNINGSTAR FARMS,MORNINGSTAR FARMS BACON STRIPS 5.25OZ,1000000470437,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Feature Only,2259,15270.84,6.76
2022-01-29,TEXAS,MORNINGSTAR FARMS,MORNINGSTAR FARMS SPICY BLACK BEAN BURGER 9OZ,1000000358716,BUFFALO,FROZEN PLANT-BASED MEAT,Winter,Display Only,862,5766.78,6.69
2022-01-29,CALIFORNIA,MORNINGSTAR FARMS,MORNINGSTAR FARMS ORIGINAL BURGER 8OZ,1000000838805,BUFFALO,FROZEN PLANT-BASED MEAT,Winter,Special Pack Only,1321,6935.25,5.25
2022-02-05,NORTHEAST,BEYOND MEAT,BEYOND BREAKFAST SAUSAGE 7OZ,1000000340950,REGULAR,FROZEN PLANT-BASED MEAT,Winter,No Merch,1157,10598.12,9.16
2022-02-05,NORTHEAST,GARDEIN,GARDEIN ULTIMATE BEEFLESS BURGER 14OZ,1000000328237,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Feature Only,743,6263.49,8.43
2022-02-05,FLORIDA,GARDEIN,GARDEIN SEVEN GRAIN CRISPY TENDERS 10.5OZ,1000000809224,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Display Only,212,1210.52,5.71
2022-02-05,SOUTHEAST,GARDEIN,GARDEIN MEATLESS MEATBALLS 12.7OZ,1000000447105,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Feature And Display,676,3494.92,5.17
2022-02-05,TEXAS,IMPOSSIBLE,IMPOSSIBLE SPICY BURGER 12OZ,1000000211924,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Any Merch,3040,22739.2,7.48
2022-02-05,TOTAL US,MORNINGSTAR FARMS,MORNINGSTAR FARMS BACON STRIPS 5.25OZ,1000000470437,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Any Merch,1146,5718.54,4.99
2022-02-05,MIDWEST,MORNINGSTAR FARMS,MORNINGSTAR FARMS SPICY BLACK BEAN BURGER 9OZ,1000000358716,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Feature Only,2196,14932.8,6.8
2022-02-05,NEW YORK,MORNINGSTAR FARMS,MORNINGSTAR FARMS ORIGINAL BURGER 8OZ,1000000838805,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Display Only,1531,12202.07,7.97
2022-02-05,SOUTHEAST,MORNINGSTAR FARMS,MORNINGSTAR FARMS VEGGIE BURGER 9OZ,1000000656098,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Special Pack Only,826,4790.8,5.8
2022-02-12,SOUTHEAST,BEYOND MEAT,BEYOND BREAKFAST SAUSAGE 7OZ,1000000340950,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Any Merch,1024,6287.36,6.14
2022-02-12,NORTHEAST,BEYOND MEAT,BEYOND SAUSAGE PLANT-BASED LINKS 14OZ,1000000432533,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Display Only,1018,7767.34,7.63
2022-02-12,NEW YORK,BEYOND MEAT BEYOND BURGER,BEYOND BURGER ORIGINAL 8OZ,1000000057464,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Special Pack Only,731,4802.67,6.57
2022-02-12,MIDWEST,BEYOND MEAT BEYOND BURGER,BEYOND BURGER ORIGINAL 8OZ,1000000057464,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Feature And Display,1950,16263.0,8.34
2022-02-12,NEW YORK,GARDEIN,GARDEIN MEATLESS MEATBALLS 12.7OZ,1000000447105,REGULAR,FROZEN PLANT-BASED MEAT,Winter,No Merch,1425,8920.5,6.26
2022-02-12,NORTHEAST,IMPOSSIBLE,IMPOSSIBLE CHICKEN NUGGETS 13.1OZ,1000000854391,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Any Merch,996,8187.12,8.22
2022-02-12,TOTAL US,IMPOSSIBLE,IMPOSSIBLE BURGER PLANT-BASED MEAT 12OZ,1000000808620,BUFFALO,FROZEN PLANT-BASED MEAT,Winter,Display Only,480,4689.6,9.77
2022-02-12,CALIFORNIA,IMPOSSIBLE,IMPOSSIBLE SPICY BURGER 12OZ,1000000211924,SPICY BLACK BEAN,FROZEN PLANT-BASED MEAT,Winter,Feature Only,1026,9223.74,8.99
2022-02-12,MIDWEST,MORNINGSTAR FARMS,MORNINGSTAR FARMS BACON STRIPS 5.25OZ,1000000470437,REGULAR,FROZEN PLANT-BASED MEAT,Winter,No Merch,594,3296.7,5.55
2022-02-12,CALIFORNIA,MORNINGSTAR FARMS,MORNINGSTAR FARMS ORIGINAL BURGER 8OZ,1000000838805,REGULAR,FROZEN PLANT-BASED MEAT,Winter,No Merch,1059,7307.1,6.9
2022-02-12,SOUTHEAST,MORNINGSTAR FARMS,MORNINGSTAR FARMS VEGGIE BURGER 9OZ,1000000656098,BUFFALO,FROZEN PLANT-BASED MEAT,Winter,Feature And Display,573,3976.62,6.94
2022-02-12,SOUTHEAST,MORNINGSTAR FARMS,MORNINGSTAR FARMS VEGGIE BURGER 9OZ,1000000656098,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Price Reductions Only,2094,10658.46,5.09
2022-02-12,NEW YORK,MORNINGSTAR FARMS,MORNINGSTAR FARMS SPICY BLACK BEAN BURGER 9OZ,1000000358716,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Display Only,2202,15414.0,7.0
2022-02-12,TEXAS,MORNINGSTAR FARMS,MORNINGSTAR FARMS ORIGINAL BURGER 8OZ,1000000838805,BACON,FROZEN PLANT-BASED MEAT,Winter,Price Reductions Only,1719,8405.91,4.89
2022-02-19,SOUTHEAST,BEYOND MEAT,BEYOND BACON PLANT-BASED STRIPS 3OZ,1000000204949,BACON,FROZEN PLANT-BASED MEAT,Winter,Display Only,871,6950.58,7.98
2022-02-19,WEST,BEYOND MEAT,BEYOND BACON PLANT-BASED STRIPS 3OZ,1000000204949,BACON,FROZEN PLANT-BASED MEAT,Winter,Special Pack Only,965,7121.7,7.38
2022-02-19,TOTAL US,BEYOND MEAT BEYOND BURGER,BEYOND BURGER PLANT-BASED PATTIES 8OZ,1000000772224,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Display Only,775,5959.75,7.69
2022-02-19,SOUTHEAST,GARDEIN,GARDEIN MANDARIN ORANGE CRISPY CHKN 10.5OZ,1000000895359,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Feature Only,790,6572.8,8.32
2022-02-19,MIDWEST,GARDEIN,GARDEIN ULTIMATE BEEFLESS BURGER 14OZ,1000000328237,REGULAR,FROZEN PLANT-BASED MEAT,Winter,No Merch,268,2039.48,7.61
2022-02-19,SOUTHEAST,GARDEIN,GARDEIN SEVEN GRAIN CRISPY TENDERS 10.5OZ,1000000809224,HERB,FROZEN PLANT-BASED MEAT,Winter,Any Merch,921,6769.35,7.35
2022-02-19,NEW YORK,GARDEIN,GARDEIN MANDARIN ORANGE CRISPY CHKN 10.5OZ,1000000895359,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Feature Only,666,3762.9,5.65
2022-02-19,SOUTHEAST,IMPOSSIBLE,IMPOSSIBLE CHICKEN NUGGETS 13.1OZ,1000000854391,BUFFALO,FROZEN PLANT-BASED MEAT,Winter,Feature And Display,545,5646.2,10.36
2022-02-19,SOUTHEAST,IMPOSSIBLE,IMPOSSIBLE SPICY BURGER 12OZ,1000000211924,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,No Merch,431,4452.23,10.33
2022-02-19,TEXAS,MORNINGSTAR FARMS,MORNINGSTAR FARMS BUFFALO WINGS 8OZ,1000000049755,SPICY BLACK BEAN,FROZEN PLANT-BASED MEAT,Winter,Any Merch,855,4086.9,4.78
2022-02-19,CALIFORNIA,MORNINGSTAR FARMS,MORNINGSTAR FARMS ORIGINAL BURGER 8OZ,1000000838805,SPICY BLACK BEAN,FROZEN PLANT-BASED MEAT,Winter,No Merch,968,7279.36,7.52
2022-02-19,TOTAL US,MORNINGSTAR FARMS,MORNINGSTAR FARMS ORIGINAL BURGER 8OZ,1000000838805,BACON,FROZEN PLANT-BASED MEAT,Winter,No Merch,559,3588.78,6.42
2022-02-19,MIDWEST,MORNINGSTAR FARMS,MORNINGSTAR FARMS SPICY BLACK BEAN BURGER 9OZ,1000000358716,BACON,FROZEN PLANT-BASED MEAT,Winter,Any Merch,1210,8034.4,6.64
2022-02-19,CALIFORNIA,MORNINGSTAR FARMS,MORNINGSTAR FARMS BUFFALO WINGS 8OZ,1000000049755,BACON,FROZEN PLANT-BASED MEAT,Winter,Price Reductions Only,2097,11869.02,5.66
2022-02-19,TOTAL US,MORNINGSTAR FARMS,MORNINGSTAR FARMS BACON STRIPS 5.25OZ,1000000470437,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Price Reductions Only,576,3386.88,5.88
2022-02-19,TEXAS,MORNINGSTAR FARMS,MORNINGSTAR FARMS BUFFALO WINGS 8OZ,1000000049755,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Special Pack Only,2076,10463.04,5.04
2022-02-19,MIDWEST,MORNINGSTAR FARMS,MORNINGSTAR FARMS BACON STRIPS 5.25OZ,1000000470437,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Feature And Display,1051,7924.54,7.54
2022-02-19,TEXAS,MORNINGSTAR FARMS,MORNINGSTAR FARMS VEGGIE BURGER 9OZ,1000000656098,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,No Merch,1155,8316.0,7.2
2022-02-19,TOTAL US,MORNINGSTAR FARMS,MORNINGSTAR FARMS BACON STRIPS 5.25OZ,1000000470437,BUFFALO,FROZEN PLANT-BASED MEAT,Winter,Special Pack Only,1468,7222.56,4.92
2022-02-26,TOTAL US,BEYOND MEAT BEYOND BURGER,BEYOND BURGER PLANT-BASED PATTIES 8OZ,1000000772224,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Feature Only,1968,17574.24,8.93
2022-02-26,WEST,BEYOND MEAT BEYOND BURGER,BEYOND BURGER PLANT-BASED PATTIES 8OZ,1000000772224,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Any Merch,1662,11334.84,6.82
2022-02-26,TEXAS,GARDEIN,GARDEIN MEATLESS MEATBALLS 12.7OZ,1000000447105,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Price Reductions Only,497,3588.34,7.22
2022-02-26,NORTHEAST,MORNINGSTAR FARMS,MORNINGSTAR FARMS SPICY BLACK BEAN BURGER 9OZ,1000000358716,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Any Merch,1943,11308.26,5.82
2022-02-26,SOUTHEAST,MORNINGSTAR FARMS,MORNINGSTAR FARMS BACON STRIPS 5.25OZ,1000000470437,BUFFALO,FROZEN PLANT-BASED MEAT,Winter,Any Merch,1602,9996.48,6.24
2022-02-26,NORTHEAST,MORNINGSTAR FARMS,MORNINGSTAR FARMS ORIGINAL BURGER 8OZ,1000000838805,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Special Pack Only,1900,12236.0,6.44
2022-02-26,NORTHEAST,MORNINGSTAR FARMS,MORNINGSTAR FARMS ORIGINAL BURGER 8OZ,1000000838805,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Any Merch,813,4373.94,5.38
2022-02-26,SOUTHEAST,MORNINGSTAR FARMS,MORNINGSTAR FARMS ORIGINAL BURGER 8OZ,1000000838805,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Display Only,969,7722.93,7.97
2022-02-26,CALIFORNIA,MORNINGSTAR FARMS,MORNINGSTAR FARMS BACON STRIPS 5.25OZ,1000000470437,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Special Pack Only,1345,8231.4,6.12
2022-02-26,CALIFORNIA,MORNINGSTAR FARMS,MORNINGSTAR FARMS SPICY BLACK BEAN BURGER 9OZ,1000000358716,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Any Merch,2008,11204.64,5.58
2022-03-05,TEXAS,BEYOND MEAT,BEYOND BACON PLANT-BASED STRIPS 3OZ,1000000204949,ORIGINAL,FROZEN PLANT-BASED MEAT,Winter,Feature And Display,697,6475.13,9.29
2022-03-05,SOUTHEAST,BEYOND MEAT BEYOND BURGER,BEYOND BURGER PLANT-BASED PATTIES 8OZ,1000000772224,REGULAR,FROZEN PLANT-BASED MEAT,Winter,Price Reductions Only,738,5313.6,7.2
2022-03-05,SOUTHEAST,GARDEIN,GARDEIN MANDARIN ORANGE CRISPY CHKN 10.5OZ,1000000895359,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Feature Only,616,3634.4,5.9
2022-03-05,FLORIDA,GARDEIN,GARDEIN MEATLESS MEATBALLS 12.7OZ,1000000447105,CLASSIC,FROZEN PLANT-BASED MEAT,Winter,Feature And Display,907,5523.63,6.09
2022-03-05,NORTHEAST,GARDEIN,GARDEIN SEVEN GRAIN CRISPY TENDERS 10.5OZ,1000000809224,HERB,FROZEN PLANT-BASED MEAT,Spring,No Merch,1039,7221.05,6.95
2022-03-05,NEW YORK,GARDEIN,GARDEIN MEATLESS MEATBALLS 12.7OZ,1000000447105,ORIGINAL,FROZEN PLANT-BASED MEAT,Spring,No Merch,851,5259.18,6.18
